doi,year,Physics,Chemistry,Biology,Geology,Surface,Deep ocean,Beach/Coast,Estuary/Lagoon/Mangrove,Sediment/Benthic,General marine,Diagnosis,Mitigation,Adaptation,journal,volume,issue,pages
10.1080/27658511.2025.2516898,2024,False,True,True,False,False,False,False,False,False,True,True,True,False,SUSTAINABLE ENVIRONMENT,11,1,
10.1080/27658511.2025.2464377,2024,True,True,True,False,False,False,True,False,False,True,True,True,False,SUSTAINABLE ENVIRONMENT,11,1,
10.1016/j.rsma.2025.104286,2024,True,True,False,False,False,False,False,False,False,True,True,False,False,REGIONAL STUDIES IN MARINE SCIENCE,89,,
10.1016/j.rsma.2025.104292,2024,False,False,False,True,False,False,False,False,True,True,True,True,False,REGIONAL STUDIES IN MARINE SCIENCE,89,,
10.1016/j.rsma.2025.104279,2024,False,False,False,True,False,False,True,False,False,False,True,False,False,REGIONAL STUDIES IN MARINE SCIENCE,89,,
10.1016/j.rsma.2025.104272,2024,False,False,True,False,False,False,True,False,False,True,True,False,False,REGIONAL STUDIES IN MARINE SCIENCE,89,,
10.1007/s44169-025-00080-w,2024,False,False,False,False,False,False,False,False,False,True,False,False,False,REVIEWS OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,263,1,
10.1016/j.ecoinf.2025.103230,2024,True,True,True,False,False,False,False,True,False,True,True,False,False,ECOLOGICAL INFORMATICS,90,,
10.1016/j.rsma.2025.104244,2024,False,False,False,True,False,False,True,False,True,True,True,True,True,REGIONAL STUDIES IN MARINE SCIENCE,88,,
10.1007/s44169-024-00077-x,2024,False,True,False,False,False,False,True,False,False,True,True,True,False,REVIEWS OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,263,1,
10.1007/s44169-025-00078-4,2024,True,False,False,False,False,False,False,False,False,True,True,True,False,REVIEWS OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,263,1,
10.1016/j.saa.2025.126462,2024,True,True,True,False,False,False,True,False,False,True,False,True,True,SPECTROCHIMICA ACTA PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY,341,,
10.1016/j.saa.2025.126450,2024,False,True,False,True,False,False,True,True,True,True,True,True,False,SPECTROCHIMICA ACTA PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY,341,,
10.1016/j.jphotochem.2025.116462,2024,False,True,True,False,False,False,True,False,False,True,True,True,False,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY A-CHEMISTRY,468,,
10.1016/j.envres.2025.122196,2024,True,True,True,False,False,False,False,False,False,True,True,True,False,ENVIRONMENTAL RESEARCH,283,,
10.1016/j.envres.2025.122132,2024,True,True,True,True,True,False,True,True,True,False,True,True,False,ENVIRONMENTAL RESEARCH,283,,
10.1016/j.jhydrol.2025.133388,2024,False,True,True,True,False,True,False,False,False,True,True,False,False,JOURNAL OF HYDROLOGY,660,,
10.1016/j.marpolbul.2025.118322,2024,False,False,True,False,False,False,False,False,False,True,True,False,False,MARINE POLLUTION BULLETIN,219,,
10.1016/j.rsma.2025.104246,2024,False,False,True,True,False,False,False,False,True,True,True,True,False,REGIONAL STUDIES IN MARINE SCIENCE,87,,
10.1016/j.marpolbul.2025.118357,2024,False,False,False,True,True,False,False,False,True,False,True,True,False,MARINE POLLUTION BULLETIN,219,,
10.1016/j.envpol.2025.126679,2024,True,True,False,True,True,False,True,True,True,True,True,False,False,ENVIRONMENTAL POLLUTION,382,,
10.1016/j.marpolbul.2025.118323,2024,False,True,False,False,False,False,False,False,False,False,True,True,True,MARINE POLLUTION BULLETIN,219,,
10.1016/j.marpolbul.2025.118245,2024,False,False,False,True,True,False,False,False,True,True,True,False,False,MARINE POLLUTION BULLETIN,219,,
10.1016/j.marpolbul.2025.118292,2024,False,False,True,False,False,False,False,False,False,True,True,True,True,MARINE POLLUTION BULLETIN,219,,
10.1016/j.marpolbul.2025.118257,2024,False,False,False,False,False,False,True,False,False,True,False,False,False,MARINE POLLUTION BULLETIN,219,,
10.1016/j.marpolbul.2025.118284,2024,False,True,True,False,False,False,False,False,False,True,False,False,False,MARINE POLLUTION BULLETIN,219,,
10.1016/j.marpolbul.2025.118286,2024,True,True,False,True,True,False,False,False,True,False,True,False,False,MARINE POLLUTION BULLETIN,219,,
10.1016/j.marpolbul.2025.118271,2024,False,False,True,True,False,True,True,False,True,True,True,True,True,MARINE POLLUTION BULLETIN,219,,
10.1016/j.marpolbul.2025.118246,2024,True,True,False,True,True,False,True,False,True,True,True,True,False,MARINE POLLUTION BULLETIN,219,,
10.1016/j.marpolbul.2025.118268,2024,True,True,True,False,True,False,False,False,False,True,True,False,False,MARINE POLLUTION BULLETIN,219,,
10.1016/j.marpolbul.2025.118279,2024,True,True,False,False,True,False,False,False,False,True,True,False,False,MARINE POLLUTION BULLETIN,219,,
10.1016/j.marpolbul.2025.118255,2024,True,False,True,False,False,False,False,False,False,True,True,True,False,MARINE POLLUTION BULLETIN,219,,
10.1016/j.atmosenv.2025.121308,2024,True,False,False,False,False,False,False,False,False,True,False,False,False,ATMOSPHERIC ENVIRONMENT,358,,
10.1016/j.ecss.2025.109414,2024,False,True,True,False,False,False,False,False,False,True,True,False,False,ESTUARINE COASTAL AND SHELF SCIENCE,323,,
10.1016/j.ecss.2025.109382,2024,False,True,False,True,False,False,False,False,True,True,True,True,False,ESTUARINE COASTAL AND SHELF SCIENCE,323,,
10.1016/j.envpol.2025.126636,2024,False,True,True,False,False,False,False,False,False,False,True,True,False,ENVIRONMENTAL POLLUTION,381,,
10.1016/j.envpol.2025.126634,2024,False,False,False,False,False,False,False,True,False,True,True,False,False,ENVIRONMENTAL POLLUTION,381,,
10.1016/j.envpol.2025.126554,2024,True,True,True,False,False,False,False,False,False,True,True,True,False,"Environmental pollution (Barking, Essex : 1987)",381,,126554
10.1016/j.watres.2025.123893,2024,False,False,False,False,False,False,False,False,False,True,True,True,False,WATER RESEARCH,284,,
10.1016/j.jhazmat.2025.138944,2024,True,False,True,False,False,False,False,False,False,True,False,True,False,JOURNAL OF HAZARDOUS MATERIALS,495,,
10.1016/j.jhazmat.2025.139079,2024,False,True,False,False,False,False,True,False,False,True,True,False,False,JOURNAL OF HAZARDOUS MATERIALS,495,,
10.1016/j.jhazmat.2025.138963,2024,True,True,True,True,False,True,False,False,True,True,True,True,False,JOURNAL OF HAZARDOUS MATERIALS,495,,
10.1016/j.jhazmat.2025.138947,2024,True,False,False,False,False,False,False,False,False,False,True,True,False,JOURNAL OF HAZARDOUS MATERIALS,495,,
10.1016/j.jhazmat.2025.138927,2024,False,True,True,False,False,False,False,False,False,True,True,True,False,JOURNAL OF HAZARDOUS MATERIALS,495,,
10.1016/j.aquatox.2025.107450,2024,True,True,True,True,True,False,True,False,False,True,True,True,False,AQUATIC TOXICOLOGY,286,,
10.1016/j.marpolbul.2025.118082,2024,False,False,False,False,False,False,True,False,False,False,True,False,False,MARINE POLLUTION BULLETIN,218,,
10.1016/j.marpolbul.2025.118165,2024,False,True,True,False,False,True,False,False,False,True,False,False,False,MARINE POLLUTION BULLETIN,218,,
10.1016/j.ecoenv.2025.118552,2024,True,True,False,True,False,False,False,False,False,True,False,True,False,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,302,,
10.1007/s41208-025-00880-w,2024,True,False,True,False,True,False,False,False,False,False,True,True,False,THALASSAS,41,3,
10.1144/jgs2024-228,2024,True,True,False,True,False,False,False,True,True,False,True,False,False,JOURNAL OF THE GEOLOGICAL SOCIETY,182,5,
10.1016/j.biteb.2025.102170,2024,False,True,False,False,False,False,False,False,False,True,True,False,False,BIORESOURCE TECHNOLOGY REPORTS,31,,
10.1016/j.emcon.2025.100516,2024,False,False,True,False,False,False,False,False,False,False,True,True,False,EMERGING CONTAMINANTS,11,3,
